	chembl_tid	entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name	#mmp	#mms	machine1	machine2
284	CHEMBL2085	P14174	MIF_HUMAN	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF family	Homo sapiens (Human)	5.3.2.1; 5.3.3.12	MIF	chemoattractant activity [GO:0042056]; cytokine activity [GO:0005125]; cytokine receptor binding [GO:0005126]; dopachrome isomerase activity [GO:0004167]; identical protein binding [GO:0042802]; phenylpyruvate tautomerase activity [GO:0050178]	Macrophage migration inhibitory factor	6	5	True	False
285	CHEMBL3025	P23280	CAH6_HUMAN	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA6	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 6	6	3	False	True
286	CHEMBL3972	P22102	PUR2_HUMAN	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GARS family; AIR synthase family; GART family	Homo sapiens (Human)	6.3.4.13; 6.3.3.1; 2.1.2.2	GART	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]	Trifunctional purine biosynthetic protein adenosine-3	6	3	True	False
287	CHEMBL1844	P07333	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	Homo sapiens (Human)	2.7.10.1	CSF1R	ATP binding [GO:0005524]; cytokine binding [GO:0019955]; macrophage colony-stimulating factor receptor activity [GO:0005011]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Macrophage colony-stimulating factor 1 receptor	6	1	False	True
288	CHEMBL1994	P08235	MCR_HUMAN	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Nuclear hormone receptor family, NR3 subfamily	Homo sapiens (Human)		NR3C2	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	Mineralocorticoid receptor	5	3	True	False
289	CHEMBL3268	Q9UBF8	PI4KB_HUMAN	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)	PI3/PI4-kinase family, Type III PI4K subfamily	Homo sapiens (Human)	2.7.1.67	PI4KB	14-3-3 protein binding [GO:0071889]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; ATP binding [GO:0005524]; phosphatidylinositol kinase activity [GO:0052742]	Phosphatidylinositol 4-kinase beta	5	3	False	True
290	CHEMBL2364162	O14788	TNF11_HUMAN	Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]	Tumor necrosis factor family	Homo sapiens (Human)		TNFSF11	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; tumor necrosis factor receptor binding [GO:0005164]; tumor necrosis factor receptor superfamily binding [GO:0032813]	Tumor necrosis factor ligand superfamily member 11	5	1	True	False
291	CHEMBL5043	Q6P179	ERAP2_HUMAN	Endoplasmic reticulum aminopeptidase 2 (EC 3.4.11.-) (Leukocyte-derived arginine aminopeptidase) (L-RAP)	Peptidase M1 family	Homo sapiens (Human)	3.4.11.-	ERAP2	aminopeptidase activity [GO:0004177]; endopeptidase activity [GO:0004175]; metalloaminopeptidase activity [GO:0070006]; metallopeptidase activity [GO:0008237]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	Endoplasmic reticulum aminopeptidase 2	5	1	False	True
292	CHEMBL298	P32239	GASR_HUMAN	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)	G-protein coupled receptor 1 family	Homo sapiens (Human)		CCKBR	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; cholecystokinin receptor activity [GO:0004951]; gastrin receptor activity [GO:0015054]; peptide hormone binding [GO:0017046]; type B gastrin/cholecystokinin receptor binding [GO:0031741]	Gastrin/cholecystokinin type B receptor	4	2	True	False
293	CHEMBL2593	P30419	NMT1_HUMAN	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1)	NMT family	Homo sapiens (Human)	2.3.1.97	NMT1	glycylpeptide N-tetradecanoyltransferase activity [GO:0004379]; myristoyltransferase activity [GO:0019107]	Glycylpeptide N-tetradecanoyltransferase 1	4	2	False	True
294	CHEMBL3795	Q01726	MSHR_HUMAN	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	G-protein coupled receptor 1 family	Homo sapiens (Human)		MC1R	G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; melanocortin receptor activity [GO:0004977]; melanocyte-stimulating hormone receptor activity [GO:0004980]; ubiquitin protein ligase binding [GO:0031625]	Melanocyte-stimulating hormone receptor	4	2	True	False
295	CHEMBL2083	P15090	FABP4_HUMAN	Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4)	Calycin superfamily, Fatty-acid binding protein (FABP) family	Homo sapiens (Human)		FABP4	fatty acid binding [GO:0005504]; hormone receptor binding [GO:0051427]; long-chain fatty acid binding [GO:0036041]; long-chain fatty acid transporter activity [GO:0005324]	Fatty acid-binding protein, adipocyte	4	2	False	True
296	CHEMBL2717	Q9HCR9	PDE11_HUMAN	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A (EC 3.1.4.35) (EC 3.1.4.53) (cAMP and cGMP phosphodiesterase 11A)	Cyclic nucleotide phosphodiesterase family	Homo sapiens (Human)	3.1.4.35; 3.1.4.53	PDE11A	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cGMP binding [GO:0030553]; cGMP-stimulated cyclic-nucleotide phosphodiesterase activity [GO:0004118]; cyclic-nucleotide phosphodiesterase activity [GO:0004112]; metal ion binding [GO:0046872]	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A	4	2	True	False
297	CHEMBL290	Q13370	PDE3B_HUMAN	cGMP-inhibited 3',5'-cyclic phosphodiesterase B (EC 3.1.4.17) (CGIPDE1) (CGIP1) (Cyclic GMP-inhibited phosphodiesterase B) (CGI-PDE B)	Cyclic nucleotide phosphodiesterase family, PDE3 subfamily	Homo sapiens (Human)	3.1.4.17	PDE3B	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cGMP-inhibited cyclic-nucleotide phosphodiesterase activity [GO:0004119]; metal ion binding [GO:0046872]; protein kinase B binding [GO:0043422]	cGMP-inhibited 3',5'-cyclic phosphodiesterase B	4	2	False	True
298	CHEMBL5652	Q8TDV5	GP119_HUMAN	Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)	G-protein coupled receptor 1 family	Homo sapiens (Human)		GPR119	G protein-coupled receptor activity [GO:0004930]; phosphatidylcholine binding [GO:0031210]	Glucose-dependent insulinotropic receptor	4	4	True	False
299	CHEMBL4716	Q9NP56	PDE7B_HUMAN	cAMP-specific 3',5'-cyclic phosphodiesterase 7B (EC 3.1.4.53)	Cyclic nucleotide phosphodiesterase family, PDE7 subfamily	Homo sapiens (Human)	3.1.4.53	PDE7B	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]	cAMP-specific 3',5'-cyclic phosphodiesterase 7B	4	2	False	True
300	CHEMBL1853	P31391	SSR4_HUMAN	Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R)	G-protein coupled receptor 1 family	Homo sapiens (Human)		SSTR4	G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; somatostatin receptor activity [GO:0004994]	Somatostatin receptor type 4	3	3	True	False
301	CHEMBL2069156	Q14145	KEAP1_HUMAN	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	KEAP1 family	Homo sapiens (Human)		KEAP1	disordered domain specific binding [GO:0097718]; identical protein binding [GO:0042802]; transcription factor binding [GO:0008134]	Kelch-like ECH-associated protein 1	3	1	False	True
302	CHEMBL258	P06239	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	Protein kinase superfamily, Tyr protein kinase family, SRC subfamily	Homo sapiens (Human)	2.7.10.2	LCK	ATPase binding [GO:0051117]; ATP binding [GO:0005524]; CD4 receptor binding [GO:0042609]; CD8 receptor binding [GO:0042610]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphatidylinositol 3-kinase binding [GO:0043548]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; phosphotyrosine residue binding [GO:0001784]; protein C-terminus binding [GO:0008022]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; T cell receptor binding [GO:0042608]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Tyrosine-protein kinase Lck	3	3	True	False
303	CHEMBL3201	P35869	AHR_HUMAN	Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76)		Homo sapiens (Human)		AHR	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; Hsp90 protein binding [GO:0051879]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; sequence-specific double-stranded DNA binding [GO:1990837]; TBP-class protein binding [GO:0017025]; TFIID-class transcription factor complex binding [GO:0001094]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator binding [GO:0001223]; transcription factor binding [GO:0008134]	Aryl hydrocarbon receptor	3	1	False	True
304	CHEMBL4683	Q12884	SEPR_HUMAN	Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]	Peptidase S9B family	Homo sapiens (Human)	3.4.21.26; 3.4.14.5; 3.4.21.-; 3.4.14.5; 3.4.21.-; 3.4.21.26	FAP	dipeptidyl-peptidase activity [GO:0008239]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; peptidase activity [GO:0008233]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	Prolyl endopeptidase FAP	3	2	True	False
305	CHEMBL4282	P31749	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	Homo sapiens (Human)	2.7.11.1	AKT1	14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; GTPase activating protein binding [GO:0032794]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; nitric-oxide synthase regulator activity [GO:0030235]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; potassium channel activator activity [GO:0099104]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein phosphatase 2A binding [GO:0051721]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	RAC-alpha serine/threonine-protein kinase	3	3	False	True
306	CHEMBL2008	P10826	RARB_HUMAN	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		RARB	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; protein-containing complex binding [GO:0044877]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]	Retinoic acid receptor beta	3	1	True	False
307	CHEMBL4767	Q16572	VACHT_HUMAN	Vesicular acetylcholine transporter (VAChT) (Solute carrier family 18 member 3)	Major facilitator superfamily, Vesicular transporter family	Homo sapiens (Human)		SLC18A3	acetylcholine transmembrane transporter activity [GO:0005277]; transmembrane transporter activity [GO:0022857]	Vesicular acetylcholine transporter	3	2	False	True
308	CHEMBL2276	P45983	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Homo sapiens (Human)	2.7.11.24	MAPK8	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; histone deacetylase regulator activity [GO:0035033]; JUN kinase activity [GO:0004705]; MAP kinase activity [GO:0004707]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Mitogen-activated protein kinase 8	3	3	True	False
309	CHEMBL1250379	Q15717	ELAV1_HUMAN	ELAV-like protein 1 (Hu-antigen R) (HuR)	RRM elav family	Homo sapiens (Human)		ELAVL1	double-stranded RNA binding [GO:0003725]; miRNA binding [GO:0035198]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]	ELAV-like protein 1	3	1	False	True
310	CHEMBL4105838	Q96GG9	DCNL1_HUMAN	DCN1-like protein 1 (DCNL1) (DCUN1 domain-containing protein 1) (Defective in cullin neddylation protein 1-like protein 1) (Squamous cell carcinoma-related oncogene)		Homo sapiens (Human)		DCUN1D1	cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]	DCN1-like protein 1	3	1	True	False
311	CHEMBL2652	O00408	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)	Cyclic nucleotide phosphodiesterase family, PDE2 subfamily	Homo sapiens (Human)	3.1.4.17	PDE2A	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; cGMP-stimulated cyclic-nucleotide phosphodiesterase activity [GO:0004118]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphate ion binding [GO:0042301]; protein homodimerization activity [GO:0042803]; TPR domain binding [GO:0030911]; zinc ion binding [GO:0008270]	cGMP-dependent 3',5'-cyclic phosphodiesterase	3	1	False	True
312	CHEMBL1795186	Q15059	BRD3_HUMAN	Bromodomain-containing protein 3 (RING3-like protein)		Homo sapiens (Human)		BRD3	chromatin binding [GO:0003682]; lysine-acetylated histone binding [GO:0070577]	Bromodomain-containing protein 3	3	3	True	False
313	CHEMBL213	P08588	ADRB1_HUMAN	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily	Homo sapiens (Human)		ADRB1	alpha-2A adrenergic receptor binding [GO:0031694]; beta1-adrenergic receptor activity [GO:0004940]; beta-adrenergic receptor activity [GO:0004939]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; G protein-coupled receptor activity [GO:0004930]; guanyl-nucleotide exchange factor activity [GO:0005085]; PDZ domain binding [GO:0030165]; protein heterodimerization activity [GO:0046982]	Beta-1 adrenergic receptor	3	3	False	True
314	CHEMBL2392	P06746	DPOLB_HUMAN	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)	DNA polymerase type-X family	Homo sapiens (Human)	2.7.7.7; 4.2.99.-	POLB	damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA-directed DNA polymerase activity [GO:0003887]; enzyme binding [GO:0019899]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]	DNA polymerase beta	3	1	True	False
315	CHEMBL4835	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDH/MDH superfamily, LDH family	Homo sapiens (Human)	1.1.1.27	LDHA	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; L-lactate dehydrogenase activity [GO:0004459]; NAD binding [GO:0051287]	L-lactate dehydrogenase A chain	3	3	False	True
316	CHEMBL4071	P08311	CATG_HUMAN	Cathepsin G (CG) (EC 3.4.21.20)	Peptidase S1 family	Homo sapiens (Human)	3.4.21.20	CTSG	heparin binding [GO:0008201]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	Cathepsin G	3	1	True	False
317	CHEMBL5122	Q16832	DDR2_HUMAN	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	Homo sapiens (Human)	2.7.10.1	DDR2	ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Discoidin domain-containing receptor 2	3	3	False	True
318	CHEMBL2003	P13631	RARG_HUMAN	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		RARG	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]	Retinoic acid receptor gamma	3	2	True	False
319	CHEMBL3142	P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PI3/PI4-kinase family	Homo sapiens (Human)	2.7.11.1	PRKDC	ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]; transcription factor binding [GO:0008134]; U3 snoRNA binding [GO:0034511]	DNA-dependent protein kinase catalytic subunit	3	1	False	True
320	CHEMBL2055	P10276	RARA_HUMAN	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		RARA	alpha-actinin binding [GO:0051393]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; mRNA 5'-UTR binding [GO:0048027]; nuclear receptor activity [GO:0004879]; protein domain specific binding [GO:0019904]; protein kinase A binding [GO:0051018]; protein kinase B binding [GO:0043422]; retinoic acid binding [GO:0001972]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; signaling receptor binding [GO:0005102]; transcription factor binding [GO:0008134]; translation repressor activity, mRNA regulatory element binding [GO:0000900]; zinc ion binding [GO:0008270]	Retinoic acid receptor alpha	3	1	True	False
321	CHEMBL2552	P15086	CBPB1_HUMAN	Carboxypeptidase B (EC 3.4.17.2) (Pancreas-specific protein) (PASP)	Peptidase M14 family	Homo sapiens (Human)	3.4.17.2	CPB1	carboxypeptidase activity [GO:0004180]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]	Carboxypeptidase B	3	3	False	True
322	CHEMBL3032	Q16513	PKN2_HUMAN	Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2)	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	Homo sapiens (Human)	2.7.11.13	PKN2	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calcium-dependent protein kinase C activity [GO:0004698]; histone deacetylase binding [GO:0042826]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; small GTPase binding [GO:0031267]	Serine/threonine-protein kinase N2	3	3	True	False
323	CHEMBL3983	P33981	TTK_HUMAN	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	Protein kinase superfamily, Ser/Thr protein kinase family	Homo sapiens (Human)	2.7.12.1	TTK	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinetochore binding [GO:0043515]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Dual specificity protein kinase TTK	3	3	False	True
324	CHEMBL3582	Q02156	KPCE_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	Homo sapiens (Human)	2.7.11.13	PRKCE	14-3-3 protein binding [GO:0071889]; actin monomer binding [GO:0003785]; ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; calcium-independent protein kinase C activity [GO:0004699]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; ethanol binding [GO:0035276]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; signaling receptor activator activity [GO:0030546]	Protein kinase C epsilon type	3	3	True	False
325	CHEMBL4662	P28074	PSB5_HUMAN	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X)	Peptidase T1B family	Homo sapiens (Human)	3.4.25.1	PSMB5	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; threonine-type endopeptidase activity [GO:0004298]	Proteasome subunit beta type-5	3	1	False	True
326	CHEMBL1770034	Q8TBX8	PI42C_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma)		Homo sapiens (Human)	2.7.1.149	PIP4K2C	1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; 1-phosphatidylinositol-5-phosphate 4-kinase activity [GO:0016309]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	2	2	True	False
